,content
356,I purchased Google project management course after I cancelled course within one days under trial period my money is no refund in my bank account but refund receipt are already issued.
357,Not able to download the certificate at last it was saying there was a network problem very bad😠
358,Good app
359,Very good 🙂
360,"So expensive , i can't afford monthly subscription"
361,"I cannot log into my account with the mobile app. It says ""sign up later"". Please fix this."
362,App crashes while trying to open settings. Very disappointing and annoying. Lags too much even my phone in Android 11
363,Very good !!!
364,Super
365,good app
366,For a $400 a year service the app should be way better than it is. Casting to a TV is so buggy they might as well not even have it as a feature.
367,"I had best experience in learning with coursera, it's full of valuable learning courses."
